id	name	doc	is_pii	langs	contexts	translations.ru.name	translations.ru.doc	links.url	links.type
longitude	Longitude	Longitude is a geographic coordinate that specifies the east–west position of a point on the Earths surface, or the surface of a celestial body. It is an angular measurement, usually expressed in degrees and denoted by the Greek letter lambda (λ)	False	common,ru	geo,common			https://en.wikipedia.org/wiki/Longitude	wikipedia
md5hash	MD5 hash	Result of the MD5 hash function. Commonly used to generate hash of from file or data or to use as unique identifier	False	common	crypto			https://en.wikipedia.org/wiki/MD5	wikipedia
mimetype	Multipurpose Internet Mail Extensions (MIME)	Mime type of the file/content. Used to identify contents of the stream or file. The MIME standard is specified in a series of requests for comments: RFC 2045, RFC 2046, RFC 2047, RFC 4288, RFC 4289 and RFC 2049.	False	common	common			https://en.wikipedia.org/wiki/MIME	wikipedia
mongodbid	MongoDB unique record ID	MongoDB unique id assigned to each row of each collection in MongoDB as field _id	False	common	crypto				
month	Month	Month as number since start of the year. Could be from 1 to 12	False	common	datetime				
nationality	Person nationality	Nationality of the person from list of unique code from one of code lists or defined somehow else.	True	common	pii				
ogrn	Russian primary government identification number (OGRN)	Russian primary government identification number assigned by Tax Service to any business entity in Russia	False	ru	companies	Основной государственный регистрационный номер (ОГРН)	ОГРН (основной государственный регистрационный номер) — государственный регистрационный номер записи о создании юридического лица либо записи о первом представлении в соответствии с федеральным законом Российской Федерации «О государственной регистрации юридических лиц» сведений о юридическом лице, зарегистрированном до введения в действие указанного Закона (пункт 8 Правил ведения Единого государственного реестра юридических лиц).		
ogrn_ogrnip	Russian primary government identification number (OGRN and OGRNIP)	Russian primary government identification number assigned by Tax Service to any business entity (OGRN) in Russia and sole prprietors (OGRNIP)	False	ru	companies	Код ОГРН или ОГРНИП	Основной государственный регистрационный номер индивидуального предпринимателя или ОГРН (основной государственный регистрационный номер)		
okato	OKATO (Russian Classification on Objects of Administrative Division)	Russian Classification on Objects of Administrative Division (Russian: Общеросси́йский классифика́тор объе́ктов администрати́вно-территориа́льного деле́ния), or OKATO (Russian: ОКАТО), also called All-Russian classification on units of administrative and territorial distribution in English, is one of several Russian national registers. OKATOs purpose is organization of information about structure of the administrative divisions of the federal subjects of Russia.	False	ru	geo	Код ОКАТО	 Общероссийский классификатор объектов административно-территориального деления (сокращ. ОКАТО — общероссийский классификатор административно-территориальных образований) — классификатор объектов административно-территориального деления Российской Федерации, входит в состав «Единой системы классификации и кодирования технико-экономической и социальной информации Российской Федерации» (ЕСКК). ОКАТО предназначен для обеспечения достоверности, сопоставимости и автоматизированной обработки информации в разрезах административно-территориального деления в таких сферах, как статистика, экономика и другие.	https://en.wikipedia.org/wiki/OKATO	wikipedia
okei	Russian OKEI code (classifier of units of measurement)	Russian OKEI (classifier of units of measurement)	False	ru	common	Код ОКЕИ (Общероссийский классификатор единиц измерения)	Общероссийский классификатор единиц измерения — это общероссийский классификатор, предназначенный для использования при решении задач количественной оценки технико-экономических и социальных показателей в целях осуществления государственного учета и отчетности, анализа и прогнозирования развития экономики, обеспечения международных статистических сопоставлений, осуществления внутренней и внешней торговли, государственного регулирования внешнеэкономической деятельности и организации таможенного контроля.		
okeiname	Russian OKEI name of code (classifier of units of measurement)	Russian OKEI (classifier of units of measurement)	False	ru	common	Наименование кода по ОКЕИ (Общероссийский классификатор единиц измерения)	Общероссийский классификатор единиц измерения — это общероссийский классификатор, предназначенный для использования при решении задач количественной оценки технико-экономических и социальных показателей в целях осуществления государственного учета и отчетности, анализа и прогнозирования развития экономики, обеспечения международных статистических сопоставлений, осуществления внутренней и внешней торговли, государственного регулирования внешнеэкономической деятельности и организации таможенного контроля.		
okfs	Russian form of ownership code	Russian classifier of forms of ownership, OKFS	False	ru	common	Код ОКФС	ОКФС — это общероссийский классификатор форм собственности, входящий в Единую систему кодирования РФ		
okogu	Russian government and governance code (OKOGU)	Russian government and governance code. OKOGU classifier	False	ru	common	Код ОКОГУ	ОКОГУ -  это общероссийский классификатор органов государственной власти и управления		
okopf	Code of type of business entity (Russian, OKOPF)	Code of type of business entity in Russia, classifier OKOPF	False	ru	companies,common	Код организационно-правовая формы по ОКОПФ	Код организационно-правовой формы юридического лица по справочнику ОКОПФ		
okopfname	Type of business entity (Russian, OKOPF)	Type of business entity in Russia, classifier OKOPF	False	ru	companies	Организационно-правовая форма	Наименование организационно-правовой формы юридического лица по справочнику ОКОПФ		
okpd	Russian product code (OKPD)	Russian product code (OKPD) used for government procurement and budget planning purposes	False	ru	common	Код ОКПД	Код по Общероссийскому классификатору продукции		
okpo	Russian organization stat code	Russian organizations statistical code (OKPO) issued by Rosstat	False	ru	companies	Код ОКПО	Код по Общероссийскому классификатору предприятий и организаций		
oktmo	Russian Classification of Territories of Municipal Formations (OKTMO) code	Russian Classification of Territories of Municipal Formations (Russian: Общероссийский классификатор территорий муниципальных образований), or OKTMO (Russian: ОКТМО), is one of several Russian national registers. OKTMO organizes information about the structure of the municipal divisions of Russia.	False	ru	common	Код ОКТМО	Общероссийский классификатор территорий муниципальных образований (сокращ. ОКТМО) — классификатор объектов административно-территориального деления Российской Федерации, входит в состав «Единой системы классификации и кодирования технико-экономической и социальной информации Российской Федерации» (ЕСКК).	https://en.wikipedia.org/wiki/OKTMO	wikipedia
oktmoname	Russian Classification of Territories of Municipal Formations (OKTMO) name	Russian Classification of Territories of Municipal Formations (Russian: Общероссийский классификатор территорий муниципальных образований), or OKTMO (Russian: ОКТМО), is one of several Russian national registers. OKTMO organizes information about the structure of the municipal divisions of Russia.	False	ru	common	Наименование из справочника ОКТМО	Общероссийский классификатор территорий муниципальных образований (сокращ. ОКТМО) — классификатор объектов административно-территориального деления Российской Федерации, входит в состав «Единой системы классификации и кодирования технико-экономической и социальной информации Российской Федерации» (ЕСКК).	https://en.wikipedia.org/wiki/OKTMO	wikipedia
okvalpha	Russian currency code	Russian currency codes (OKV classifier)	False	ru	common	Код валюты по ОКВ	Код валюты по справочнику ОКВ (Общероссийский классификатор валют)		
okved	Russian economic classification code (OKVED)	Russian economic classification code (OKVED)	False	ru	common	Код ОКВЭД	Код по общероссийскому классификатору видов экономической деятельности		
okvname	Russian currency name	Russian currency names (OKV classifier)	False	ru	common	Название валюты по ОКВ	Название валюты по справочнику ОКВ (Общероссийский классификатор валют)		
